2019-05-30 00:27:48.293723: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 00:27:48.301926: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599880000 Hz
2019-05-30 00:27:48.302066: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae724b7a0 executing computations on platform Host. Devices:
2019-05-30 00:27:48.302086: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 00:27:48.302301: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 900 of [900, 910)
attack: step 1/30, xent loss = 3.3767, l2 loss = 0 (max 14.95), (true 257, predicted [208])
attack: step 15/30, xent loss = 5.8397, l2 loss = 1.74659 (max 14.95), (true 351, predicted [159])
attack: step 16/30, xent loss = 11.5708, l2 loss = 2.75061 (max 14.95), (true 351, predicted [159])
attack: step 17/30, xent loss = 15.0738, l2 loss = 3.22548 (max 14.95), (true 351, predicted [159])
attack: step 18/30, xent loss = 15.2925, l2 loss = 4.03978 (max 14.95), (true 351, predicted [159])
attack: step 19/30, xent loss = 8.29681, l2 loss = 5.10311 (max 14.95), (true 351, predicted [159])
attack: step 20/30, xent loss = 15.4529, l2 loss = 5.6924 (max 14.95), (true 351, predicted [159])
attack: step 21/30, xent loss = 18.2434, l2 loss = 6.2825 (max 14.95), (true 351, predicted [159])
attack: step 22/30, xent loss = 19.5525, l2 loss = 7.15469 (max 14.95), (true 351, predicted [159])
attack: step 23/30, xent loss = 19.7534, l2 loss = 7.61337 (max 14.95), (true 351, predicted [159])
attack: step 24/30, xent loss = 22.3251, l2 loss = 8.22955 (max 14.95), (true 351, predicted [159])
attack: step 25/30, xent loss = 23.2798, l2 loss = 8.80894 (max 14.95), (true 351, predicted [159])
attack: step 26/30, xent loss = 24.2418, l2 loss = 9.26729 (max 14.95), (true 351, predicted [159])
attack: step 27/30, xent loss = 26.5133, l2 loss = 10.0046 (max 14.95), (true 351, predicted [159])
attack: step 28/30, xent loss = 30.7308, l2 loss = 10.4632 (max 14.95), (true 351, predicted [159])
attack: step 29/30, xent loss = 31.7299, l2 loss = 10.9741 (max 14.95), (true 351, predicted [159])
attack: step 30/30, xent loss = 29.5314, l2 loss = 11.6469 (max 14.95), (true 351, predicted [159])
true = 351, adv = 351
evaluating 909 of [900, 910)
attack: step 1/30, xent loss = 0.0787308, l2 loss = 0 (max 14.95), (true 908, predicted [908])
attack: step 2/30, xent loss = 0.501821, l2 loss = 0.181751 (max 14.95), (true 908, predicted [908])
attack: step 3/30, xent loss = 1.56891, l2 loss = 0.879405 (max 14.95), (true 908, predicted [908])
attack: step 4/30, xent loss = 6.87356, l2 loss = 2.34019 (max 14.95), (true 908, predicted [435])
attack: step 5/30, xent loss = 10.9097, l2 loss = 6.04202 (max 14.95), (true 908, predicted [435])
attack: step 6/30, xent loss = 13.1414, l2 loss = 8.03371 (max 14.95), (true 908, predicted [435])
attack: step 7/30, xent loss = 12.5451, l2 loss = 9.90626 (max 14.95), (true 908, predicted [435])
attack: step 8/30, xent loss = 15.9876, l2 loss = 10.6767 (max 14.95), (true 908, predicted [435])
attack: step 9/30, xent loss = 20.4043, l2 loss = 11.359 (max 14.95), (true 908, predicted [435])
attack: step 10/30, xent loss = 17.4853, l2 loss = 11.8699 (max 14.95), (true 908, predicted [435])
attack: step 11/30, xent loss = 23.4655, l2 loss = 12.7441 (max 14.95), (true 908, predicted [435])
attack: step 12/30, xent loss = 27.9747, l2 loss = 13.1139 (max 14.95), (true 908, predicted [435])
attack: step 13/30, xent loss = 21.3503, l2 loss = 13.6441 (max 14.95), (true 908, predicted [435])
attack: step 14/30, xent loss = 31.1987, l2 loss = 14.0281 (max 14.95), (true 908, predicted [435])
attack: step 15/30, xent loss = 33.714, l2 loss = 14.467 (max 14.95), (true 908, predicted [435])
attack: step 16/30, xent loss = 34.9104, l2 loss = 14.8903 (max 14.95), (true 908, predicted [435])
attack: step 17/30, xent loss = 32.3025, l2 loss = 15.3045 (max 14.95), (true 908, predicted [435])
attack: step 18/30, xent loss = 33.9551, l2 loss = 15.9069 (max 14.95), (true 908, predicted [435])
attack: step 19/30, xent loss = 38.1988, l2 loss = 16.2761 (max 14.95), (true 908, predicted [876])
attack: step 20/30, xent loss = 41.837, l2 loss = 16.7593 (max 14.95), (true 908, predicted [435])
attack: step 21/30, xent loss = 41.4104, l2 loss = 17.1456 (max 14.95), (true 908, predicted [876])
attack: step 22/30, xent loss = 44.9999, l2 loss = 17.4391 (max 14.95), (true 908, predicted [876])
attack: step 23/30, xent loss = 38.4167, l2 loss = 18.0188 (max 14.95), (true 908, predicted [876])
attack: step 24/30, xent loss = 46.1734, l2 loss = 18.426 (max 14.95), (true 908, predicted [876])
attack: step 25/30, xent loss = 49.8425, l2 loss = 18.7771 (max 14.95), (true 908, predicted [876])
attack: step 26/30, xent loss = 48.7835, l2 loss = 19.2538 (max 14.95), (true 908, predicted [876])
attack: step 27/30, xent loss = 45.0587, l2 loss = 19.8566 (max 14.95), (true 908, predicted [876])
attack: step 28/30, xent loss = 46.8856, l2 loss = 20.2189 (max 14.95), (true 908, predicted [876])
attack: step 29/30, xent loss = 52.4634, l2 loss = 20.5982 (max 14.95), (true 908, predicted [876])
attack: step 30/30, xent loss = 50.148, l2 loss = 20.9858 (max 14.95), (true 908, predicted [876])
check failed
true = 908, adv = 435
