2019-05-29 17:52:27.571419: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 17:52:27.582122: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600005000 Hz
2019-05-29 17:52:27.582392: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6bc12b0 executing computations on platform Host. Devices:
2019-05-29 17:52:27.582426: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 17:52:27.582778: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 540 of [540, 550)
attack: step 1/30, xent loss = 0.0230272, l2 loss = 0 (max 14.95), (true 702, predicted [702])
attack: step 15/30, xent loss = 27.4096, l2 loss = 7.35036 (max 14.95), (true 689, predicted [411])
attack: step 16/30, xent loss = 36.2098, l2 loss = 7.51148 (max 14.95), (true 689, predicted [411])
attack: step 17/30, xent loss = 41.4573, l2 loss = 7.69806 (max 14.95), (true 689, predicted [411])
attack: step 18/30, xent loss = 42.0168, l2 loss = 7.94796 (max 14.95), (true 689, predicted [411])
attack: step 19/30, xent loss = 40.5749, l2 loss = 8.32469 (max 14.95), (true 689, predicted [411])
attack: step 20/30, xent loss = 38.4539, l2 loss = 8.64415 (max 14.95), (true 689, predicted [411])
attack: step 21/30, xent loss = 39.5589, l2 loss = 9.00806 (max 14.95), (true 689, predicted [411])
attack: step 22/30, xent loss = 36.2084, l2 loss = 9.43273 (max 14.95), (true 689, predicted [411])
attack: step 23/30, xent loss = 43.0215, l2 loss = 9.78689 (max 14.95), (true 689, predicted [411])
attack: step 24/30, xent loss = 47.3447, l2 loss = 9.96634 (max 14.95), (true 689, predicted [411])
attack: step 25/30, xent loss = 40.1608, l2 loss = 10.2908 (max 14.95), (true 689, predicted [411])
attack: step 26/30, xent loss = 38.3143, l2 loss = 10.7506 (max 14.95), (true 689, predicted [411])
attack: step 27/30, xent loss = 52.8968, l2 loss = 10.9319 (max 14.95), (true 689, predicted [411])
attack: step 28/30, xent loss = 51.8014, l2 loss = 11.1412 (max 14.95), (true 689, predicted [411])
attack: step 29/30, xent loss = 51.5544, l2 loss = 11.4334 (max 14.95), (true 689, predicted [411])
attack: step 30/30, xent loss = 39.8867, l2 loss = 11.8848 (max 14.95), (true 689, predicted [411])
true = 689, adv = 868
evaluating 549 of [540, 550)
attack: step 1/30, xent loss = 0.113686, l2 loss = 0 (max 14.95), (true 500, predicted [500])
attack: step 2/30, xent loss = 0.300511, l2 loss = 0.121249 (max 14.95), (true 500, predicted [500])
attack: step 3/30, xent loss = 1.31761, l2 loss = 0.332978 (max 14.95), (true 500, predicted [972])
attack: step 4/30, xent loss = 5.23662, l2 loss = 1.39984 (max 14.95), (true 500, predicted [972])
attack: step 5/30, xent loss = 5.69613, l2 loss = 1.99876 (max 14.95), (true 500, predicted [972])
attack: step 6/30, xent loss = 8.29837, l2 loss = 2.95764 (max 14.95), (true 500, predicted [972])
attack: step 7/30, xent loss = 10.0307, l2 loss = 3.57066 (max 14.95), (true 500, predicted [972])
attack: step 8/30, xent loss = 9.58556, l2 loss = 4.2471 (max 14.95), (true 500, predicted [972])
attack: step 9/30, xent loss = 10.9521, l2 loss = 4.77971 (max 14.95), (true 500, predicted [972])
attack: step 10/30, xent loss = 9.14403, l2 loss = 5.25654 (max 14.95), (true 500, predicted [972])
attack: step 11/30, xent loss = 10.3908, l2 loss = 5.79247 (max 14.95), (true 500, predicted [972])
attack: step 12/30, xent loss = 12.6012, l2 loss = 6.0376 (max 14.95), (true 500, predicted [972])
attack: step 13/30, xent loss = 13.7008, l2 loss = 6.29504 (max 14.95), (true 500, predicted [972])
attack: step 14/30, xent loss = 13.1197, l2 loss = 6.5772 (max 14.95), (true 500, predicted [972])
attack: step 15/30, xent loss = 12.5456, l2 loss = 7.01007 (max 14.95), (true 500, predicted [972])
attack: step 16/30, xent loss = 14.671, l2 loss = 7.20155 (max 14.95), (true 500, predicted [972])
attack: step 17/30, xent loss = 12.879, l2 loss = 7.54533 (max 14.95), (true 500, predicted [972])
attack: step 18/30, xent loss = 16.28, l2 loss = 7.80391 (max 14.95), (true 500, predicted [972])
attack: step 19/30, xent loss = 15.2112, l2 loss = 8.05674 (max 14.95), (true 500, predicted [972])
attack: step 20/30, xent loss = 14.7538, l2 loss = 8.57071 (max 14.95), (true 500, predicted [972])
attack: step 21/30, xent loss = 16.947, l2 loss = 8.73327 (max 14.95), (true 500, predicted [972])
attack: step 22/30, xent loss = 18.5894, l2 loss = 8.97712 (max 14.95), (true 500, predicted [972])
attack: step 23/30, xent loss = 18.5078, l2 loss = 9.26103 (max 14.95), (true 500, predicted [972])
attack: step 24/30, xent loss = 17.9633, l2 loss = 9.54949 (max 14.95), (true 500, predicted [972])
attack: step 25/30, xent loss = 20.6887, l2 loss = 9.76652 (max 14.95), (true 500, predicted [972])
attack: step 26/30, xent loss = 22.8923, l2 loss = 10.0052 (max 14.95), (true 500, predicted [972])
attack: step 27/30, xent loss = 21.4945, l2 loss = 10.2419 (max 14.95), (true 500, predicted [972])
attack: step 28/30, xent loss = 17.688, l2 loss = 10.668 (max 14.95), (true 500, predicted [972])
attack: step 29/30, xent loss = 21.46, l2 loss = 10.9064 (max 14.95), (true 500, predicted [972])
attack: step 30/30, xent loss = 17.3656, l2 loss = 11.3001 (max 14.95), (true 500, predicted [972])
true = 500, adv = 999
